#***********************************************************
# name  file_location  xspb/lumipb  otherscale nMCevents       nMCNegEvents    colorcode       stackit
#***********************************************************
dataM 	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/Data_noDup.root	35867.06	1 1 0 1	0
#dataM   /eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2018/Data_noDup.root        59000.0         1 1 0 1 0
#***********************************************************
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusTo2JZTo2LJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root       0.02982 1 189086.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusToLNuWminusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root 0.03259 1	189560.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusToLNuZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root      0.1     1	199542.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusTo2JWminusToLNuJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root  0.9107  1	1983847. 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusTo2JZTo2LJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      0.05401 1	198922.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuWminusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root  0.9114  1	1991227. 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuWplusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root   0.08793 1	198848.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      0.1825  1	393171.0 0.0 840 0
VBF_EWK	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/ZTo2LZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      0.01589 1	99997.0	 0.0 840 0
#***********************************************************
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusTo2JZTo2LJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root       0.3488   1 489280.0 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusToLNuWminusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root 0.03203  1 99657.0  0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WminusToLNuZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root      1.166    1 981540.0 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusTo2JWminusToLNuJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root  5.568    1 3994663. 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusTo2JZTo2LJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      0.575    1 499432.0 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuWminusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root  5.546    1 3949170. 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuWplusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root   0.07584  1 99992.0  0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/WplusToLNuZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      1.938    1 1991348. 0.0 400 1
VBF_QCD	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/ZTo2LZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	      0.3449   1 49999.0  0.0 400 1
#***********************************************************
DYJets	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/DY1JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root 1012.296845 1 46443016.0 0.0 4 1
DYJets	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/DY2JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root 334.717838	1 19296117.0 0.0 4 1
DYJets	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/DY3JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root 102.4628	1 4866978.0  0.0 4 1
DYJets	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/DY4JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root 54.48136	1 2798791.0  0.0 4 1
#***********************************************************
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV_powheg_TuneCUETP8M1.root 19.5741 1 5424956.0 0.0      592 1
Top	/eos/cms/store/user/jlawhorn/WVJJTree_Apr20/2016/ST_tW_top_5f_NoFullyHadronicDecays_13TeV_powheg_TuneCUETP8M1.root     19.5741 1 5372830.0 0.0 	  592 1
